SignDescription,X_2011NAD83,Y_2011NAD83,MERGE_SRC,Z
D1-1 / ,1221645.192836806178093,889300.916068479418755,Mach9_SignFace,51.688800000003539
R10-3e / Push Button Wait For Walk Signal,1219552.090395718812943,888855.292287811636925,Mach9_SignFace,50.196299999995972
W11-2 / ,1195771.889924719929695,866763.304647728800774,Mach9_SignFace,231.097500000003492
,1195772.636314302682877,866768.689151391386986,Mach9_SignFace,229.857499999998254
R10-3e / PUSH BUTTON FOR,1214651.942059561610222,887819.199543729424477,Mach9_SignFace,60.567500000004657
D1-1 / ROC,1195190.913396388292313,895845.638215228915215,Mach9_SignFace,343.397700000001350
"G20-1a / A BETTER WAY
SAVE OUR TREES
SAVE OUR LIFE",1200915.352406799793243,884356.629697233438492,Mach9_SignFace,130.459199999997509
R5-1 / DO NOT ENTER,1181621.027806550264359,901662.815229147672653,Mach9_SignFace,321.794899999993504
"R7-202 / NO PARKING
LOADING ZONE
30 MINUTE LIMIT",1195192.076451808214188,895846.580142483115196,Mach9_SignFace,329.213099999993574
R1-2 / YIELD,1207027.134802639484406,889316.418662145733833,Mach9_SignFace,68.148799999995390
M1-5 / 104,1180636.547163978219032,902352.703285053372383,Mach9_SignFace,301.771800000002258
R2-1 / SPEED LIMIT 35,1195695.187650308012962,866289.533613637089729,Mach9_SignFace,248.171000000002095
R7-1 / NO PARKING ANY TIME,1219181.121977552771568,887668.535474970936775,Mach9_SignFace,61.774300000004587
M1-8B / 416,1181769.796209812164307,901520.446747481822968,Mach9_SignFace,328.697599999999511
R2-1 / 30,1202289.095394223928452,888925.625152394175529,Mach9_SignFace,78.665099999998347
"R3-11a / RIGHT LANE
[bus symbol]
ONLY
EXCEPT RIGHT TURNS",1207808.332059144973755,889324.532162979245186,Mach9_SignFace,74.479300000006333
R5-1 / DO NOT ENTER,1188106.600793391466141,896889.399907231330872,Mach9_SignFace,369.786099999997532
R10-3e / Push Button Wait For Walk Signal,1220291.750005632638931,889228.240360811352730,Mach9_SignFace,41.081799999999930
D1-1b / KENMORE AIR HARBOR,1206681.924863144755363,889194.272909060120583,Mach9_SignFace,66.221600000004400
W11-2 / ,1198657.965845465660095,875475.012946054339409,Mach9_SignFace,210.018500000005588
D9-20 / Pickup Location,1181357.404646143317223,901676.111790478229523,Mach9_SignFace,319.905199999993783
R7-201a / Unauthorized or improperly parked vehicles will be impounded at owner's expense. MAC Towing 403-328-4869,1207856.025861382484436,889202.999925732612610,Mach9_SignFace,69.745699999999488
W11-2a / CROSSWALK,1177541.859455719590187,906797.035931810736656,Mach9_SignFace,44.584300000002258
D11-4 / 372,1214649.947640970349312,887788.523423969745636,Mach9_SignFace,63.297800000000279
R2-1 / 10,1177846.284699887037277,909298.910193145275116,Mach9_SignFace,22.188299999994342
M1-9 / ROTARY INTERNATIONAL,1197059.415236800909042,893703.508969306945801,Mach9_SignFace,227.452000000004773
"D1-1 / EDMONDS
MARSH",1177645.131886973977089,908610.417147561907768,Mach9_SignFace,18.564299999998184
"D1-1 / CHRISTMAS LIGHTS INSTALLATION
425-215-0935
ChristmasNW.com",1214841.350801467895508,887676.387493386864662,Mach9_SignFace,61.072199999995064
R2-1 / ,1210730.920702144503593,889066.540224894881248,Mach9_SignFace,42.392500000001746
unknown / unknown,1199532.243952557444572,891136.272305890917778,Mach9_SignFace,133.622900000002119
R2-1 / 35,1193202.407858967781067,862614.080662727355957,Mach9_SignFace,332.227100000003702
R10-12 / LEFT TURN YIELD ON GREEN,1180265.460635811090469,902931.794646561145782,Mach9_SignFace,309.422699999995530
D3-1 / Bothell Way NE,1219857.575020968914032,889110.693351805210114,Mach9_SignFace,52.723199999993085
"D1-1 / Benjamin Moore
Mallory Paint Store",1188699.297442644834518,896810.075262725353241,Mach9_SignFace,359.870999999999185
"R7-201a / CUSTOMER PARKING ONLY
MARY'S TOWING
425-743-5800
11105 HWY 99, EVERETT, WA
TOWING • JUMPSTARTS • UNLOCKS",1181431.758171975612640,901554.116955727338791,Mach9_SignFace,323.920400000002701
D3-1 / 3RD AVE.,1178248.401677802205086,905446.386730223894119,Mach9_SignFace,136.129799999995157
"R3-5R / ONLY
EXCEPT BUSES AND BICYCLES",1198422.939412638545036,875174.841630399227142,Mach9_SignFace,203.065300000002026
R3-5L / ONLY,1198938.405245214700699,876223.023917227983475,Mach9_SignFace,215.891099999993457
R7-1 / NO PARKING ANY TIME,1177871.576644048094749,909678.394342303276062,Mach9_SignFace,21.724100000006729
D1-1 / ,1202503.491947054862976,887070.160031303763390,Mach9_SignFace,41.660699999993085
"R7-200P / NO PARKING
6-9AM
3-7PM
2 HOUR PARKING
9AM-3PM",1198051.889629811048508,874043.344221472740173,Mach9_SignFace,185.498200000001816
W13-1P / 20 MPH,1201800.938562139868736,889741.266893804073334,Mach9_SignFace,114.211100000000442
,1216544.998640894889832,886949.810206398367882,Mach9_SignFace,72.829500000007101
,1194312.287528976798058,863986.862694054841995,Mach9_SignFace,369.745899999994435
,1195782.997842133045197,866637.764872565865517,Mach9_SignFace,232.116599999993923
R8-3 / No Parking,1195293.151052802801132,864864.996764555573463,Mach9_SignFace,324.114199999996345
,1194875.376625895500183,864450.738734811544418,Mach9_SignFace,350.613700000001700
R6-1 / ONE WAY,1191627.101626381278038,861552.795055642724037,Mach9_SignFace,238.046900000001187
R2-1 / ,1195269.996243476867676,895694.891469478607178,Mach9_SignFace,319.122399999992922
R7-201a / MARY'S PIZZA SHACK CUSTOMER PARKING ONLY NO OVERNIGHT PARKING,1195651.889508560299873,895141.927680388092995,Mach9_SignFace,298.330900000000838
,1203263.270611226558685,887564.811601057648659,Mach9_SignFace,45.622000000003027
,1199615.092868223786354,881911.490886732935905,Mach9_SignFace,217.171199999997043
R1-1 / STOP,1213956.324356302618980,888064.876545816659927,Mach9_SignFace,46.070200000001932
R10-3e / Push Button Wait For Walk Signal,1199341.330948561429977,879158.519030481576920,Mach9_SignFace,240.153300000005402
M1-4 / 104,1178255.536834135651588,905444.914620310068130,Mach9_SignFace,129.180300000007264
R7-1 / P,1193489.217980891466141,863158.457198649644852,Mach9_SignFace,342.850099999996019
W1-1 / ,1201231.616209968924522,890026.011403053998947,Mach9_SignFace,105.593699999997625
,1184549.917946144938469,900709.428028315305710,Mach9_SignFace,383.077600000004168
R10-3e / PUSH BUTTON FOR WALK SIGNAL,1199675.910331889986992,891012.578983724117279,Mach9_SignFace,127.596900000004098
R7-1 / ,1193847.796660050749779,863366.859012812376022,Mach9_SignFace,361.049599999998463
D1-1 / ,1199352.320427894592285,880657.151859968900681,Mach9_SignFace,242.002200000002631
,1202070.186383217573166,886679.165078386664391,Mach9_SignFace,49.637900000001537
D3-1 / Lake City Wy NE,1198077.865627720952034,874311.739682063460350,Mach9_SignFace,194.449600000007194
M6-1 / ,1195765.283310636878014,866669.717564553022385,Mach9_SignFace,230.251900000002934
"R7-107 / NO COMMUTER PARKING
VIOLATORS WILL BE TOWED",1194934.393240138888359,896048.087285399436951,Mach9_SignFace,328.836400000000140
D3-1 / Erickson Pl NE,1199341.910671800374985,878500.271331220865250,Mach9_SignFace,251.209600000001956
D3-1 / 8th Ave NE,1192144.304004058241844,861535.394499897956848,Mach9_SignFace,268.879199999995762
R10-3e / Push Button Wait For Walk Signal,1197136.466591894626617,871894.746156468987465,Mach9_SignFace,177.736300000004121
D3-1 / Lake City,1197154.908484131097794,871918.032199144363403,Mach9_SignFace,185.912500000005821
,1200494.111123308539391,883430.500315889716148,Mach9_SignFace,179.008499999996275
R10-3e / Push Button Wait For Walk Signal,1219565.041157215833664,888990.843197807669640,Mach9_SignFace,48.947299999999814
R10-3e / Push Button Wait For Walk Signal,1177975.791330635547638,909622.711382806301117,Mach9_SignFace,23.063500000003842
D1-1 / Public Storage,1216858.291649475693703,887034.701440811157227,Mach9_SignFace,74.641000000003260
R3-7 / RIGHT TURNS PERMITTED,1199341.020253643393517,878047.855897471308708,Mach9_SignFace,230.650999999998021
,1177744.822632476687431,909665.102702230215073,Mach9_SignFace,19.337599999998929
,1203317.797076970338821,887622.057221472263336,Mach9_SignFace,47.117100000003120
,1200836.199021801352501,884434.263728305697441,Mach9_SignFace,131.599000000001979
"R10-3e / Push Button
Wait For
Walk Signal",1197117.781261801719666,893743.443600729107857,Mach9_SignFace,224.284100000004400
D3-1 / ,1202250.637137800455093,886967.628084138035774,Mach9_SignFace,42.281600000002072
D1-1 / ,1181080.420948132872581,901703.818427979946136,Mach9_SignFace,321.022599999996601
M1-6 / EDMONDS DAYBREAKERS ROTARY CLUB,1181904.871070891618729,901605.760553225874901,Mach9_SignFace,328.324699999997392
R1-1 / STOP,1193311.063153475522995,862924.201105475425720,Mach9_SignFace,337.196899999995367
W10-3 / ,1177726.864335060119629,909639.379656553268433,Mach9_SignFace,21.595199999996112
R10-3e / ,1180198.949942052364349,902891.719595476984978,Mach9_SignFace,291.652900000000955
R2-1 / 25,1179840.304333895444870,903371.881036728620529,Mach9_SignFace,291.254799999995157
,1217273.756041631102562,886856.445563718676567,Mach9_SignFace,75.795599999997648
R7-2 / NO PARKING ANY TIME,1196279.014238551259041,894530.904952302575111,Mach9_SignFace,269.750299999999697
,1202358.082789048552513,888675.847764804959297,Mach9_SignFace,77.504000000000815
D3-1 / ,1208252.612338557839394,889367.791918978095055,Mach9_SignFace,87.103700000006938
,1185114.121870219707489,898790.213362812995911,Mach9_SignFace,399.712599999998929
,1209020.037640973925591,889212.557649388909340,Mach9_SignFace,43.497399999992922
R3-5R / ONLY,1197825.649924799799919,873891.568934470415115,Mach9_SignFace,187.918600000004517
,1185832.829750388860703,898113.776395469903946,Mach9_SignFace,411.850800000000163
,1202244.044959381222725,886969.897436559200287,Mach9_SignFace,41.139200000005076
R3-2 / NO LEFT TURN,1178053.220637723803520,909536.429403141140938,Mach9_SignFace,43.244099999996251
W3-3 / ,1203458.867989048361778,887494.596846476197243,Mach9_SignFace,41.628200000006473
,1221789.069845631718636,889301.939688473939896,Mach9_SignFace,45.166200000006938
R5-1 / DO NOT ENTER,1181624.673796638846397,901472.502289563417435,Mach9_SignFace,326.702300000004470
,1193339.491574302315712,862979.310575306415558,Mach9_SignFace,339.621499999993830
D12-3 / ,1222464.868690893054008,889041.689224720001221,Mach9_SignFace,42.565799999996671
,1196469.393779054284096,868597.537199720740318,Mach9_SignFace,157.432899999999790
,1194576.996973305940628,864253.109864979982376,Mach9_SignFace,363.348199999993085
,1221800.501581311225891,889297.309120312333107,Mach9_SignFace,45.045199999993201
R10-3e / ,1208083.249160215258598,889208.216122642159462,Mach9_SignFace,65.654899999994086
,1197523.942851051688194,873024.483726397156715,Mach9_SignFace,180.346699999994598
,1191746.804142892360687,896690.974451065063477,Mach9_SignFace,339.099600000001374
,1193772.757111966609955,863454.964151561260223,Mach9_SignFace,362.187699999994948
,1198575.371522471308708,892099.499053969979286,Mach9_SignFace,186.133499999996275
R7-8 / NO PARKING ANY TIME,1192033.610983967781067,859964.932745814323425,Mach9_SignFace,199.738299999997253
"D3-1 / MERIDIAN AVE. N.
76TH AVE. W.",1189082.241886720061302,896769.092733144760132,Mach9_SignFace,350.576000000000931
,1194607.136348724365234,864182.224508062005043,Mach9_SignFace,360.961699999999837
R7-107a / 30 MINUTE LOADING AND UNLOADING ONLY 7AM - 6PM,1197014.547216311097145,871577.397381722927094,Mach9_SignFace,179.752699999997276
R7-201a / CUSTOMER PARKING ONLY! VIOLATORS WILL BE TOWED AWAY AT VEHICLE OWNER'S EXPENSE. MARY'S TOWING 425-743-5800,1181288.622303381562233,901706.753461480140686,Mach9_SignFace,316.695900000006077
R7-1a / POSTED NO TRESPASSING KEEP OUT,1196841.021972805261612,870025.913936138153076,Mach9_SignFace,177.624700000000303
,1221840.130439057946205,889214.187567397952080,Mach9_SignFace,41.972399999998743
W4-3 / ,1201159.168848305940628,890094.448930218815804,Mach9_SignFace,101.728400000007241
D9-20b / Pickup,1181223.809768974781036,901757.486955806612968,Mach9_SignFace,317.831300000005285
R7-1a / PRIVATE PROPERTY,1196849.057389810681343,870057.589725807309151,Mach9_SignFace,175.755000000004657
D3-1 / ,1202530.528310298919678,887136.895790219306946,Mach9_SignFace,40.928499999994528
D3-1 / ,1219489.133828714489937,888909.206550061702728,Mach9_SignFace,64.384699999995064
R10-3e / Push Button Wait For Walk Signal,1190403.684125721454620,896606.152442231774330,Mach9_SignFace,308.171799999996438
,1194347.697563141584396,864064.127303302288055,Mach9_SignFace,368.095300000000861
,1194329.877060726284981,864002.323293060064316,Mach9_SignFace,368.238200000007055
,1193764.727928549051285,863353.189420729875565,Mach9_SignFace,358.984700000000885
,1194340.965949311852455,863923.950090229511261,Mach9_SignFace,367.484400000001187
R8-3 / No Parking,1194478.181226059794426,864137.175385564565659,Mach9_SignFace,363.248200000001816
R8-3 / ,1197132.074212223291397,872090.299899220466614,Mach9_SignFace,182.413100000005215
"R7-108 / 1 HOUR
7AM-6PM",1198470.290367811918259,875230.334629639983177,Mach9_SignFace,203.739600000000792
,1191228.906556636095047,896604.945423647761345,Mach9_SignFace,322.986399999994319
,1203306.863371804356575,887572.220706969499588,Mach9_SignFace,45.558199999999488
,1185236.935272887349129,898842.798231393098831,Mach9_SignFace,399.836899999994785
"D1-1 / Bothell City Hall
Main Street
Pop Keeney Stadium
Bothell Landing Park & Trails",1221106.519701555371284,889346.114140808582306,Mach9_SignFace,49.583899999997811
W4-3 / ,1191766.062962636351585,861024.520193561911583,Mach9_SignFace,211.659599999999045
R7-1 / NO PARKING,1196279.611678302288055,894530.591632723808289,Mach9_SignFace,270.093299999993178
W11-2 / ,1196785.516834467649460,869907.222572475671768,Mach9_SignFace,181.810100000002421
R3-8LUR / ONLY,1195733.227928549051285,866313.428578972816467,Mach9_SignFace,255.936300000001211
R3-5R / ONLY,1203306.644212141633034,887572.332255303859711,Mach9_SignFace,43.034199999994598
"D1-1 / Library
Bothell Landing Park & Trail
Anderson
Arch Center",1220032.067454144358635,889212.700365647673607,Mach9_SignFace,49.737299999993411
D1-1 / OSTROMS DRUG & GIFT,1208626.659490719437599,889380.359807223081589,Mach9_SignFace,73.112200000003213
D1-1 / ,1200328.078318893909454,882907.120457142591476,Mach9_SignFace,222.052999999999884
R10-3e / Push Button Wait For Walk Signal,1222714.698243722319603,889017.648590385913849,Mach9_SignFace,42.627999999996973
R2-1 / ,1222714.630658552050591,889017.497672066092491,Mach9_SignFace,44.589900000006310
D3-1 / ,1222734.899646893143654,888991.511175483465195,Mach9_SignFace,43.656400000007125
R2-1 / ,1199366.782997384667397,878353.409092143177986,Mach9_SignFace,241.619300000005751
R2-1 / ,1199191.285644978284836,877379.141027554869652,Mach9_SignFace,223.837199999994482
R2-1 / ,1199648.236174643039703,881641.170233145356178,Mach9_SignFace,226.480400000000373
M1-4 / ,1205754.084855303168297,889088.687162220478058,Mach9_SignFace,67.512100000007194
R2-1 / ,1213921.839517131447792,888063.396561890840530,Mach9_SignFace,37.796700000006240
D3-1 / ,1209954.956374809145927,889247.359745144844055,Mach9_SignFace,60.123600000006263
R3-8 / ONLY,1200106.923249393701553,882624.260786637663841,Mach9_SignFace,206.875299999999697
"D1-1 / Boat Launch
Bastyr University
Saint Edward State Park",1209626.810705631971359,889190.592142149806023,Mach9_SignFace,47.367100000003120
R5-1a / AUTHORIZED VEHICLES ONLY,1221842.905039802193642,889293.881305649876595,Mach9_SignFace,43.774499999999534
D1-1 / ,1202582.854977309703827,887175.184427559375763,Mach9_SignFace,47.955700000005891
R1-1 / STOP,1207046.658057555556297,889301.313377395272255,Mach9_SignFace,69.251000000003842
R7-107 / CANNABIS PARKING ONLY,1208090.842320889234543,889232.939170315861702,Mach9_SignFace,70.169599999993807
R2-1 / ,1219255.441382721066475,886627.224237397313118,Mach9_SignFace,80.497600000002421
R10-12 / LEFT TURN MUST YIELD,1201304.766982302069664,885717.824481397867203,Mach9_SignFace,103.436700000005658
W1-1 / LEFT CURVE,1208600.390514388680458,889310.544001981616020,Mach9_SignFace,62.233500000002095
M3-3 / ,1201703.700567632913589,889875.279749140143394,Mach9_SignFace,122.409299999999348
R10-3e / Push Button Wait For Walk Signal,1220456.528547465801239,889206.074066564440727,Mach9_SignFace,39.837700000003679
W20-1 / ,1204255.029126390814781,888132.093931064009666,Mach9_SignFace,66.316399999996065
D3-1 / ,1199333.087198644876480,878439.700914308428764,Mach9_SignFace,245.842399999994086
D1-1 / ,1219207.367331892251968,887872.705998390913010,Mach9_SignFace,57.594200000006822
D1-1 / ,1222326.039244145154953,889245.528712064027786,Mach9_SignFace,38.241200000004028
R5-1 / DO NOT ENTER,1205020.571886643767357,888929.522454306483269,Mach9_SignFace,82.104000000006636
R2-1 / ,1201539.763231471180916,886107.397521138191223,Mach9_SignFace,79.618400000006659
W3-1 / ,1216931.119915887713432,886910.911662146449089,Mach9_SignFace,64.366899999993620
M1-8 / Interstate,1219950.402263134717941,889121.522726476192474,Mach9_SignFace,56.964999999996508
W3-1 / ,1212207.861973971128464,888559.543207392096519,Mach9_SignFace,49.445900000006077
W21-5 / ,1212208.838349968194962,888562.085853219032288,Mach9_SignFace,49.581600000004983
D3-1 / ,1208596.800298467278481,889354.840829387307167,Mach9_SignFace,71.157099999996717
R3-4 / NO U-TURN,1206960.048978805541992,889241.750176310539246,Mach9_SignFace,81.381099999998696
D3-1 / State St,1204913.099004477262497,888853.556070804595947,Mach9_SignFace,82.455400000006193
R3-8L / ONLY,1214790.538567140698433,887653.801908642053604,Mach9_SignFace,80.703800000002957
R2-1 / ,1222516.874164298176765,889153.923908397555351,Mach9_SignFace,49.505399999994552
D1-1 / ,1200325.851617306470871,882918.932441398501396,Mach9_SignFace,197.671100000006845
R1-1 / STOP,1199224.316746890544891,877084.900146231055260,Mach9_SignFace,212.183999999993830
R2-1 / 35,1199165.578675389289856,876808.923335969448090,Mach9_SignFace,210.114600000000792
OM3 / ,1216849.781167805194855,886934.412927478551865,Mach9_SignFace,68.114000000001397
R3-8LDD / ONLY,1200046.363987311720848,882544.700578302145004,Mach9_SignFace,208.602199999993900
D1-1 / ,1220883.546066135168076,889347.442878305912018,Mach9_SignFace,43.007500000006985
R3-8L / OK,1211424.849104300141335,888828.136502221226692,Mach9_SignFace,58.667199999996228
R3-8 / ONLY,1213889.395028218626976,888155.259895220398903,Mach9_SignFace,62.077000000004773
D1-1 / LAKESIDE-MILAM RECOVERY CENTERS,1187778.847511887550354,897049.798536553978920,Mach9_SignFace,380.091199999995297
R10-3e / Push Button Wait For Walk Signal,1198798.336955800652504,875784.677024886012077,Mach9_SignFace,207.173200000004726
R1-1 / STOP,1220960.772289633750916,889256.900408476591110,Mach9_SignFace,54.144700000004377
R3-8L / OK,1206877.526834145188332,889252.491296559572220,Mach9_SignFace,81.682100000005448
R5-1a / ,1199382.451929301023483,879078.398783892393112,Mach9_SignFace,240.244900000005146
M1-4 / US 101,1217633.187081307172775,886810.569343149662018,Mach9_SignFace,78.800900000002002
"R2-1 / SPEED
LIMIT
5",1222172.241323381662369,889182.719454482197762,Mach9_SignFace,36.129199999995762
R3-8 / ONLY,1214728.978978976607323,887695.121707886457443,Mach9_SignFace,79.623900000005960
R10-12a / LEFT TURN MUST YIELD,1201267.521321892738342,885653.080844476819038,Mach9_SignFace,107.020099999994272
"D1-1 / Seattle
Vancouver BC
1/4 MILE",1194878.016712471842766,896096.608513802289963,Mach9_SignFace,343.817699999999604
R10-3e / Push Button Wait For Walk Signal,1199262.794360220432281,880395.066426143050194,Mach9_SignFace,242.614199999996345
W13-1P / 25 M.P.H.,1222969.582248389720917,888291.552929729223251,Mach9_SignFace,44.188299999994342
R1-1 / STOP,1214568.160402968525887,887835.168015733361244,Mach9_SignFace,62.664300000004005
R5-1 / DO NOT ENTER,1204729.468466222286224,888777.409241482615471,Mach9_SignFace,81.488500000006752
R2-1 / SPEED LIMIT 55,1209683.497928217053413,889252.762949556112289,Mach9_SignFace,45.315300000002026
M1-4 / ,1219185.263701558113098,887583.236761063337326,Mach9_SignFace,62.136499999993248
D1-1 / ,1219207.078290477395058,887873.170236304402351,Mach9_SignFace,57.458100000003469
M1-4 / ,1206875.886417478322983,889284.084409222006798,Mach9_SignFace,78.772200000006706
R3-8 / ONLY,1213026.373788386583328,888390.031407311558723,Mach9_SignFace,62.309200000003329
"W12-1 / WEIGHT LIMIT
16T
25T
27T",1209371.749864056706429,889232.434906229376793,Mach9_SignFace,47.811400000005960
R1-1 / STOP,1221840.050714805722237,889214.361451566219330,Mach9_SignFace,41.998399999996764
R3-5L / ONLY,1213103.549487054347992,888359.907123729586601,Mach9_SignFace,59.519499999994878
R5-1 / DO NOT ENTER,1223851.639211311936378,887840.714264482259750,Mach9_SignFace,41.685200000007171
R3-8L+R / ONLY,1200845.677677392959595,884213.044026389718056,Mach9_SignFace,151.126600000003236
"E1-5 / EXIT
171",1191972.380463391542435,860522.600593730807304,Mach9_SignFace,213.941500000000815
M3-3 / ,1199289.732954636216164,877842.487541809678078,Mach9_SignFace,225.414900000003399
R5-1 / DO NOT ENTER,1199217.545106887817383,877818.968231886625290,Mach9_SignFace,220.405700000002980
R1-1 / STOP,1197441.592293977737427,872838.301355972886086,Mach9_SignFace,180.201300000000629
R5-1 / DO NOT ENTER,1194308.497182220220566,863953.221357136964798,Mach9_SignFace,367.315799999996671
R3-8L / OK,1211571.454782217741013,888779.714354977011681,Mach9_SignFace,59.276800000006915
